"SECTOR","FUNDS","UNITS_EXP","COU","YEAR","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"TIM","TOTAL_F","DF6","AUS","1981","USD","6","2010",3381.358,
"TIM","TOTAL_F","DF6","AUS","1984","USD","6","2010",4128.636,
"TIM","TOTAL_F","DF6","AUS","1986","USD","6","2010",5075.314,
"TIM","TOTAL_F","DF6","AUS","1987","USD","6","2010",5178.294,
"TIM","TOTAL_F","DF6","AUS","1988","USD","6","2010",5500.043,
"TIM","TOTAL_F","DF6","AUS","1990","USD","6","2010",6141.982,
"TIM","TOTAL_F","DF6","AUS","1992","USD","6","2010",7447.283,
"TIM","TOTAL_F","DF6","AUS","1994","USD","6","2010",8308.058,
"TIM","TOTAL_F","DF6","AUS","1996","USD","6","2010",9412.035,
"TIM","TOTAL_F","DF6","AUS","1998","USD","6","2010",9394.897,
"TIM","TOTAL_F","DF6","AUS","2000","USD","6","2010",10218.948,
"TIM","TOTAL_F","DF6","AUS","2002","USD","6","2010",12219.081,
"TIM","TOTAL_F","DF6","AUS","2004","USD","6","2010",13788.118,
"TIM","TOTAL_F","DF6","AUS","2006","USD","6","2010",17048.965,
"TIM","TOTAL_F","DF6","AUS","2008","USD","6","2010",20198.604,
"TIM","TOTAL_F","DF6","AUS","2010","USD","6","2010",20572.872,"c"
"TIM","TOTAL_F","DF6","AUS","2011","USD","6","2010",20647.633,"c"
"TIM","TOTAL_F","DF6","AUS","2013","USD","6","2010",21551.911,"c"
"TIM","TOTAL_F","DF6","AUT","1981","USD","6","2010",2035.421,
"TIM","TOTAL_F","DF6","AUT","1982","USD","6","2010",2163.19,"c"
"TIM","TOTAL_F","DF6","AUT","1983","USD","6","2010",2245.502,"c"
"TIM","TOTAL_F","DF6","AUT","1984","USD","6","2010",2345.001,"c"
"TIM","TOTAL_F","DF6","AUT","1985","USD","6","2010",2407.637,
"TIM","TOTAL_F","DF6","AUT","1986","USD","6","2010",2544.063,"c"
"TIM","TOTAL_F","DF6","AUT","1987","USD","6","2010",2594.353,"c"
"TIM","TOTAL_F","DF6","AUT","1988","USD","6","2010",2766.208,"c"
"TIM","TOTAL_F","DF6","AUT","1989","USD","6","2010",2919.143,
"TIM","TOTAL_F","DF6","AUT","1990","USD","6","2010",3154.232,"c"
"TIM","TOTAL_F","DF6","AUT","1991","USD","6","2010",3448.39,"c"
"TIM","TOTAL_F","DF6","AUT","1992","USD","6","2010",3488.832,"c"
